,Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
10,AAWW,2020-06-04,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.19B,-,45.68,-0.15%,706079,7.28,-,0.44,0.65,5.28,5.74,-218.60%,-24.43%,-36.10%,10.00%,8.80%,25.97M,25.52M,2.00%,-7.48%,-,-1.06%,12.32%,3.82,823.73K,17.43%,36.81%,91.21%,85.13%,18.28%,65.69%,6.21%,5.89%,1.50,0.86,-,-4.20%,-12.10%,-5.00%,0.70,0.70,1.17,1.33,53.30%,-12.00%,-8.90%,May 07/b,1.66,2.38,17.00%,45.21%,70.24%,-2.48%,205.14%,79.43,-0.57%,0.42%
11,AAXN,2020-06-04,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.56B,-,93.34,2.37%,1066658,67.25,-,9.90,9.94,16.12,69.38,-97.10%,16.93%,-47.40%,30.00%,26.40%,59.61M,58.76M,2.00%,-17.11%,88.20%,-4.48%,8.92%,5.53,948.31K,27.51%,41.75%,24.17%,26.43%,37.26%,27.37%,7.62%,6.31%,2.00,1.12,-,-0.20%,-0.30%,-1.40%,3.20,2.90,0.00,0.00,58.20%,-1.70%,-0.30%,May 07/a,0.71,5.6,18.41%,25.57%,35.09%,-6.30%,87.43%,65.56,2.77%,-0.39%
12,AB,2020-06-04,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.60B,9.98,26.28,-0.19%,298195,10.21,-,9.16,1.71,-,5197.66,-0.70%,6.94%,6.40%,-1.76%,5.80%,98.31M,91.39M,0.30%,-60.30%,21.60%,-0.82%,1.88%,2.53,680.22K,4.08%,18.06%,-15.63%,-7.46%,-6.64%,-13.15%,3.78%,4.68%,2.30,0.44,9.74%,17.00%,17.00%,15.40%,-,-,0.00,0.00,-,100.00%,89.70%,Apr 28/b,1.52,1.22,11.38%,22.35%,-4.86%,-27.12%,98.49%,68.99,0.11%,-0.30%
13,ABB,2020-06-04,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,47.11B,47.25,21.45,-0.09%,1849391,22.67,3.24,1.72,3.96,7.02,36.64,-27.90%,58.19%,-15.30%,14.60%,-6.80%,2.13B,1.91B,-,-,4.20%,-6.07%,0.11%,0.81,2.64M,8.99%,19.43%,0.42%,-1.83%,13.49%,-10.96%,1.51%,1.80%,2.70,0.7,3.87%,2.80%,10.00%,5.20%,1.20,1.00,0.59,1.10,31.60%,6.30%,4.70%,Apr 28/b,1.12,0.53,13.84%,18.21%,4.43%,-15.22%,45.82%,76.4,0.23%,-0.33%
14,ABBV,2020-06-04,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,159.30B,16.46,93.04,2.37%,9505779,7.99,1.61,4.68,-,-,22.72,42.30%,13.22%,36.80%,10.25%,10.80%,1.48B,1.71B,0.10%,-2.05%,63.30%,1.61%,1.45%,1.87,13.24M,3.34%,8.98%,2.68%,8.25%,20.74%,5.08%,2.76%,3.05%,2.30,0.72,5.07%,11.30%,-103.70%,21.20%,3.10,3.00,-,-,77.10%,39.90%,24.60%,May 01/b,0.80,2.65,3.58%,11.68%,13.44%,-4.93%,48.75%,65.47,3.06%,-0.67%
15,ABC,2020-06-04,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,20.03B,13.10,99.45,-0.04%,1470008,12.16,1.59,0.11,5.69,5.43,12.49,-18.60%,9.60%,26.40%,8.23%,8.50%,205.37M,146.20M,0.20%,-37.43%,67.30%,-3.02%,2.84%,2.3,1.80M,5.35%,13.05%,14.35%,13.75%,21.80%,16.97%,2.22%,3.41%,2.40,0.81,1.69%,4.00%,51.00%,13.00%,1.00,0.60,1.01,1.15,2.80%,0.60%,0.90%,May 07/b,0.62,2.97,9.31%,12.63%,14.37%,-0.54%,38.01%,68.54,0.86%,-0.89%
16,ABCB,2020-06-04,Ameris Bancorp,Financial,Banks - Regional,USA,1.89B,11.66,26.64,3.78%,536925,10.25,1.46,2.73,0.76,2.58,-,-1.60%,13.04%,13.50%,8.00%,31.10%,69.25M,65.88M,4.30%,-0.87%,87.60%,-0.89%,2.84%,3.5,534.34K,7.51%,14.98%,-22.01%,-37.70%,-28.06%,-37.38%,6.44%,7.40%,1.60,1.0,2.25%,0.90%,6.40%,15.20%,-,-,0.16,0.16,-,72.10%,20.30%,Apr 23/a,1.49,1.87,19.31%,16.65%,-24.62%,-40.67%,55.61%,61.04,4.51%,-0.70%
17,ABEO,2020-06-04,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,237.60M,-,2.9,-1.02%,807279,-,-,-,2.03,2.05,-,-27.10%,11.60%,37.00%,-,-,92.64M,67.30M,1.60%,17.32%,54.40%,-16.59%,6.08%,3.2,1.28M,-10.49%,15.54%,-3.01%,-10.77%,-44.66%,-11.31%,6.17%,9.68%,2.10,0.63,-,-60.50%,-82.40%,-,3.20,3.20,0.00,0.00,-,-,-,Mar 23/a,1.60,0.24,-5.06%,10.97%,7.04%,-48.76%,114.81%,48.96,-1.36%,0.34%
18,ABEV,2020-06-04,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,41.54B,15.00,2.64,-0.75%,28668214,17.60,2.63,-,2.67,-,-,-26.30%,7.10%,39.83%,5.70%,-,15.73B,4.39B,-,-,8.30%,-,1.99%,2.43,35.97M,10.92%,22.79%,-20.24%,-36.14%,-39.29%,-43.35%,4.84%,5.41%,3.30,0.8,4.55%,-,-,-,-,-,-,-,-,-,-,Feb 27/b,-,0.14,19.48%,17.84%,-28.07%,-50.32%,38.95%,64.97,0.00%,-0.75%
19,ABG,2020-06-04,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.64B,9.52,80.65,2.23%,183776,9.72,0.51,0.23,2.33,4.22,4.01,15.00%,43.82%,20.80%,18.50%,4.20%,19.10M,19.08M,1.10%,85.27%,-,1.61%,14.46%,9.03,305.66K,5.83%,19.57%,-8.99%,-25.74%,3.66%,-27.86%,4.52%,5.54%,2.30,0.6,-,5.60%,26.50%,11.30%,1.50,0.60,1.69,3.05,16.30%,4.30%,2.30%,May 05/b,1.61,4.47,15.40%,30.13%,-10.18%,-34.67%,104.90%,66.28,4.00%,-1.70%
20,ABM,2020-06-04,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.50B,16.16,34.4,3.18%,456057,17.78,1.01,0.38,1.48,35.78,15.59,78.50%,20.41%,10.20%,16.00%,6.90%,66.90M,65.96M,0.90%,-2.26%,98.20%,-3.35%,4.08%,4.66,578.16K,2.75%,6.80%,-1.88%,-8.56%,-7.73%,-8.78%,5.97%,4.77%,2.20,0.79,2.15%,3.80%,9.40%,7.50%,1.50,1.50,0.51,0.55,11.80%,3.40%,2.20%,Jun 17/a,1.28,1.64,6.59%,14.37%,-1.70%,-19.38%,73.82%,59.88,4.40%,-1.17%
21,ABMD,2020-06-04,"Abiomed, Inc.",Healthcare,Medical Devices,USA,10.63B,53.30,236.02,-0.85%,495437,48.84,2.22,12.64,9.98,23.99,39.24,-21.00%,42.90%,10.80%,24.00%,29.60%,45.04M,44.08M,1.40%,-2.47%,98.40%,-3.00%,6.52%,4.33,664.66K,8.58%,26.74%,52.75%,23.47%,-12.19%,38.36%,3.69%,3.79%,2.30,0.75,-,17.40%,19.80%,17.90%,4.80,4.10,0.00,0.00,82.00%,29.10%,24.10%,Apr 30/b,0.89,8.56,16.94%,33.44%,31.93%,-17.41%,98.32%,82.2,0.24%,-1.09%
22,ABR,2020-06-04,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,1.05B,20.78,9.33,0.97%,3824231,9.56,2.60,2.06,1.05,4.70,-,-14.30%,510.00%,-5.50%,8.00%,30.60%,110.79M,103.19M,3.20%,1.13%,39.40%,-14.84%,5.67%,1.91,3.06M,9.00%,37.61%,-23.71%,-37.34%,-25.54%,-34.98%,5.73%,7.32%,2.60,1.25,12.86%,0.60%,3.70%,2.50%,-,-,5.58,5.58,61.70%,8.40%,7.30%,May 08/b,1.80,0.55,22.80%,40.01%,-20.57%,-40.84%,163.56%,74.97,-1.06%,2.06%
23,ABT,2020-06-04,Abbott Laboratories,Healthcare,Medical Devices,USA,156.11B,44.28,88.25,-3.45%,9066882,24.06,4.31,4.86,5.17,42.56,73.19,45.20%,29.79%,12.40%,10.28%,9.50%,1.77B,1.76B,0.70%,-5.98%,76.30%,-0.39%,1.03%,1.68,10.77M,-4.18%,-5.14%,9.60%,4.61%,12.15%,1.60%,2.96%,2.96%,1.80,0.84,1.63%,5.30%,11.50%,8.20%,1.40,1.00,0.56,0.60,58.50%,14.00%,11.20%,Apr 16/b,0.95,2.77,-3.93%,-0.49%,3.60%,-11.75%,43.24%,44.96,-3.08%,-0.38%
24,ABTX,2020-06-04,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,567.79M,13.16,27.18,2.64%,83037,19.77,-,2.43,0.79,3.02,13.78,4.50%,-13.25%,14.40%,-,34.80%,20.41M,18.70M,1.90%,-16.77%,51.40%,-3.57%,5.18%,8.28,117.11K,3.66%,20.11%,-15.30%,-23.48%,-16.93%,-27.71%,4.18%,5.08%,3.00,0.71,1.47%,0.90%,6.20%,17.90%,-,-,0.42,0.42,-,75.00%,18.80%,Apr 30/b,1.36,1.56,11.47%,13.15%,-14.88%,-30.22%,30.17%,59.73,4.42%,-1.70%
25,ABUS,2020-06-04,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,140.07M,-,2.04,-0.97%,2098887,-,-,20.60,-,1.65,-,-137.80%,-8.40%,-9.90%,-,-16.70%,67.68M,44.46M,30.16%,0.00%,38.70%,9.91%,0.97%,0.38,1.12M,-5.56%,60.63%,-32.00%,2.00%,22.89%,-26.62%,9.10%,13.57%,1.90,1.87,-,-120.30%,416.80%,203.20%,21.90,21.90,-,-,-,-,-,May 11/b,2.83,0.22,4.13%,34.24%,6.38%,-44.26%,148.36%,60.1,0.00%,-0.97%
26,AC,2020-06-04,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,901.59M,-,37.85,2.71%,30994,-,-,29.08,1.04,2.51,-,169.10%,-,71.70%,-,8.30%,22.44M,3.26M,0.60%,28.67%,84.70%,-0.11%,5.59%,9.07,20.11K,-13.41%,4.56%,-6.24%,3.70%,-1.28%,-3.44%,6.63%,6.78%,-,1.54,0.53%,-5.90%,-6.60%,-3.10%,-,-,0.00,0.02,-,-28.90%,-,Mar 09/a,1.35,2.46,1.30%,7.30%,0.05%,-42.18%,55.57%,48.8,2.88%,-0.16%
27,ACA,2020-06-04,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.06B,17.74,42.6,2.35%,808477,17.07,5.22,1.14,1.12,10.26,11.64,52.80%,2.46%,-6.30%,3.40%,-2.50%,47.80M,47.90M,1.40%,0.74%,88.60%,-0.80%,2.05%,2.52,390.09K,11.29%,24.13%,-1.75%,10.13%,17.68%,-4.38%,4.02%,4.36%,1.90,2.07,0.47%,5.00%,6.50%,6.30%,2.80,1.70,0.19,0.20,19.40%,8.90%,6.40%,Apr 28/a,-,1.87,20.24%,14.85%,10.37%,-10.97%,51.39%,68.35,3.60%,-1.20%
28,ACAD,2020-06-04,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.28B,-,45.75,-2.45%,1167967,-,-,19.87,11.13,11.17,-,17.50%,78.20%,-10.90%,25.00%,390.00%,155.37M,155.44M,0.10%,185.84%,99.30%,2.73%,7.41%,8.86,1.30M,-9.75%,-3.44%,3.06%,1.80%,77.53%,6.94%,4.89%,5.27%,1.80,0.9,-,-34.50%,-39.40%,-35.40%,7.30,7.20,0.00,0.00,94.50%,-67.80%,-65.00%,May 07/a,1.80,2.44,-8.24%,-2.43%,8.02%,-14.80%,112.20%,40.3,-1.72%,-0.75%
29,ACAM,2020-06-04,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,381.60M,123.46,10.0,0.10%,522130,-,-,-,1.27,381.60,-,-,-,-,-,-,38.20M,30.56M,-,-,87.40%,10.08%,0.00%,0.01,226.88K,0.30%,0.60%,-0.70%,1.63%,-,0.10%,0.59%,0.34%,-,2.3,-,1.00%,1.00%,-,2.30,2.30,0.00,0.00,-,-,-,-,-,0.06,0.00%,0.46%,0.67%,-4.76%,5.26%,50.43,-1.86%,2.00%
30,ACB,2020-06-04,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.57B,65.88,14.23,-0.49%,4583446,-,-,-,4.14,-,-,-,-,-,-,-,110.09M,108.83M,2.90%,0.00%,12.27%,-,19.56%,2.28,9.35M,-7.24%,69.65%,-9.48%,-51.99%,-84.66%,-45.10%,5.82%,15.84%,-,0.49,-,-,-,-,-,-,-,-,-,-,-,May 14/a,-,1.6,16.95%,36.14%,-52.07%,-85.47%,168.49%,57.08,0.35%,-0.84%
31,ACBI,2020-06-04,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,247.72M,10.92,11.4,0.71%,208053,12.13,0.98,2.34,0.74,1.46,3.10,11.60%,24.01%,16.80%,11.10%,23.70%,21.69M,20.82M,2.10%,-1.19%,86.00%,-2.74%,1.09%,2.35,96.35K,-1.21%,0.53%,-35.48%,-38.21%,-32.94%,-37.87%,4.77%,5.91%,2.30,2.16,-,1.80%,14.10%,18.70%,-,-,0.15,0.15,-,75.20%,44.10%,Apr 23/a,1.11,0.73,3.97%,1.31%,-29.34%,-43.59%,28.23%,51.65,1.33%,-0.62%
32,ACC,2020-06-04,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,5.38B,49.21,37.79,0.27%,1495561,57.00,2.79,5.77,1.58,98.39,43.79,-28.40%,13.14%,1.50%,17.62%,5.10%,137.41M,136.86M,0.70%,1.01%,96.70%,0.43%,2.67%,1.86,1.97M,13.04%,18.39%,-16.15%,-21.32%,-19.54%,-19.65%,5.22%,5.01%,2.20,0.76,4.97%,1.40%,3.20%,3.00%,-,-,1.03,1.03,53.60%,23.70%,11.40%,Apr 20/a,1.06,1.86,19.55%,21.11%,-10.63%,-25.81%,87.73%,67.59,0.96%,-0.69%
33,ACCO,2020-06-04,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,664.67M,5.93,6.87,-0.29%,469597,5.90,0.59,0.34,0.92,7.12,3.19,3.00%,83.02%,6.10%,10.00%,3.00%,96.00M,91.75M,2.90%,-2.42%,94.40%,-1.67%,5.29%,5.99,810.41K,8.36%,9.05%,-14.87%,-22.20%,-9.37%,-26.60%,5.08%,5.79%,-,0.58,3.78%,4.20%,15.20%,8.80%,1.60,1.00,1.19,1.29,31.90%,10.10%,5.90%,May 04/a,2.15,0.42,12.88%,17.57%,-16.61%,-39.63%,95.73%,62.24,0.88%,-1.16%
34,ACEL,2020-06-04,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,784.16M,-,10.65,5.86%,541431,23.93,-,1.85,9.86,5.75,17.20,-177.70%,78.80%,-,-,-,79.01M,34.00M,6.60%,0.00%,57.60%,7.32%,3.79%,4.84,266.22K,11.64%,14.64%,-2.29%,-2.74%,2.26%,-14.80%,6.13%,8.36%,2.00,2.03,-,-1.30%,-1.70%,1.60%,2.80,2.80,3.91,4.09,35.90%,2.90%,-1.40%,May 11/b,-,0.68,17.80%,23.11%,2.66%,-20.22%,104.02%,68.57,5.86%,0.00%
35,ACGL,2020-06-04,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,13.69B,10.49,32.79,1.36%,2381949,12.96,-,2.05,1.25,15.51,5.74,124.20%,209.67%,14.10%,-1.39%,11.20%,403.89M,393.77M,1.40%,-4.28%,88.70%,-1.62%,0.84%,1.18,2.81M,12.91%,38.12%,-20.35%,-19.28%,-7.37%,-23.55%,4.58%,5.13%,2.50,0.85,-,3.50%,12.40%,13.10%,-,-,0.22,0.22,-,18.70%,19.30%,May 04/a,0.74,1.48,23.65%,23.75%,-13.03%,-32.14%,56.67%,70.55,1.27%,0.09%
36,ACGLO,2020-06-04,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,10.18B,8.10,25.27,-0.51%,19696,-,-,1.51,0.97,-,-,-,-,-,-,-,402.94M,358.57M,-,-,27.65%,-,0.00%,0.37,41.12K,0.28%,3.27%,-4.28%,-0.82%,2.68%,-2.02%,0.82%,1.27%,-,0.48,5.38%,-,-,-,-,-,-,-,-,-,-,-,-,0.29,1.95%,5.45%,0.09%,-6.06%,65.70%,65.5,-0.51%,0.00%
37,ACGLP,2020-06-04,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.93B,7.90,24.64,0.33%,61528,-,-,1.47,0.94,-,-,-,-,-,-,-,402.94M,358.57M,-,-,25.67%,-,0.00%,0.18,55.80K,2.03%,2.67%,-4.31%,-1.68%,4.01%,-3.30%,0.88%,1.11%,-,1.1,5.32%,-,-,-,-,-,-,-,-,-,-,-,-,0.26,3.31%,4.95%,-0.24%,-5.70%,52.76%,69.7,0.16%,0.16%
38,ACH,2020-06-04,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.18B,38.69,5.03,1.21%,92758,-,-,0.23,0.45,3.92,12.33,8.10%,-,15.20%,-,6.00%,680.91M,429.49M,-,-,1.30%,-0.22%,0.01%,0.68,83.66K,5.89%,2.86%,-25.04%,-34.51%,-42.78%,-42.12%,2.75%,2.31%,-,1.11,-,0.30%,1.20%,3.70%,0.70,0.40,1.08,1.86,6.40%,3.40%,0.30%,-,1.05,0.18,1.97%,0.03%,-28.11%,-45.33%,9.35%,52.88,1.41%,-0.20%
39,ACHC,2020-06-04,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.63B,22.44,28.84,1.34%,468504,11.92,2.69,0.84,1.03,32.50,8.10,161.50%,27.23%,-3.80%,8.33%,25.30%,87.77M,87.12M,0.80%,0.00%,-,-3.59%,11.37%,8.49,1.17M,-1.77%,9.95%,-5.84%,-9.59%,-13.39%,-13.18%,3.75%,5.47%,2.30,0.4,-,1.70%,4.60%,5.20%,0.90,0.90,1.21,1.29,-,10.20%,3.60%,May 04/a,1.36,1.58,7.37%,24.20%,0.82%,-18.53%,160.05%,65.36,1.87%,-0.53%
40,ACIA,2020-06-04,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.78B,69.92,67.47,-1.00%,482583,27.54,-,5.74,4.65,7.57,51.95,559.20%,9.77%,73.90%,-12.00%,26.00%,41.58M,38.77M,6.10%,-3.27%,83.20%,0.41%,10.73%,5.12,811.70K,1.22%,-1.22%,0.37%,1.28%,40.59%,-0.50%,1.13%,1.13%,2.80,0.59,-,5.90%,7.30%,3.90%,4.80,4.50,0.00,0.00,47.40%,4.40%,8.60%,-,0.94,0.8,-0.44%,-0.26%,1.19%,-2.40%,52.03%,49.32,-0.59%,-0.41%
41,ACIU,2020-06-04,AC Immune SA,Healthcare,Biotechnology,Switzerland,471.66M,-,6.63,-1.49%,78037,-,-,9.40,1.73,1.64,-,177.60%,38.00%,26.30%,-,29.70%,71.86M,37.44M,47.90%,0.00%,28.30%,5.71%,1.60%,4.86,123.22K,-13.11%,-14.45%,-9.55%,-16.29%,31.03%,-22.18%,5.54%,5.22%,1.70,0.63,-,-8.60%,-9.40%,16.10%,21.30,21.30,0.01,0.01,-,-47.40%,-53.40%,Apr 09/b,0.51,0.41,-11.64%,-9.56%,-4.99%,-34.62%,62.90%,37.29,-1.78%,0.30%
42,ACIW,2020-06-04,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.22B,48.45,27.76,-1.77%,430912,21.65,4.04,2.40,3.02,27.04,24.53,19.00%,69.58%,-0.50%,12.00%,4.40%,116.01M,112.72M,1.20%,2.24%,-,-0.16%,4.88%,5.56,990.63K,4.72%,2.47%,-5.61%,-24.24%,-13.95%,-26.73%,3.52%,4.66%,1.80,0.43,-,2.10%,6.40%,4.70%,1.40,1.40,1.24,1.27,50.30%,9.70%,5.10%,May 07/b,1.32,1.28,5.93%,9.25%,-10.55%,-29.49%,38.59%,58.49,-0.75%,-1.03%
