Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
AAWW,2020-06-05,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.14B,-,44.0,-3.68%,867473,1.14B,-,7.01,-,0.42,0.62,5.08,5.53,-218.60%,-24.43%,-36.10%,10.00%,8.80%,44.0,-3.68%,867473,1.14B,25.97M,25.52M,2.00%,-7.48%,-,-1.06%,12.32%,3.82,821.91K,44.0,-3.68%,867473,12.65%,23.94%,92.48%,77.63%,15.82%,59.59%,7.09%,6.02%,1.50,821.91K,1.06,44.0,-3.68%,867473,1.14B,-,-4.20%,-12.10%,-5.00%,0.70,0.70,1.17,1.33,53.30%,-12.00%,-8.90%,May 07/b,44.0,-3.68%,867473,1.66,2.51,11.25%,37.94%,63.43%,-6.06%,193.92%,70.69,44.0,-3.68%,-5.90%,2.36%,867473
AAXN,2020-06-05,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.53B,-,92.79,-0.59%,849568,5.53B,-,66.85,-,9.84,9.88,16.02,68.97,-97.10%,16.93%,-47.40%,30.00%,26.40%,92.79,-0.59%,849568,5.53B,59.61M,58.76M,2.00%,-17.11%,88.20%,-4.48%,8.92%,5.5,953.15K,92.79,-0.59%,849568,22.16%,40.31%,24.65%,27.53%,36.52%,26.62%,7.64%,6.40%,2.00,953.15K,0.89,92.79,-0.59%,849568,5.53B,-,-0.20%,-0.30%,-1.40%,3.20,2.90,0.00,0.00,58.20%,-1.70%,-0.30%,May 07/a,92.79,-0.59%,849568,0.71,5.64,15.72%,24.05%,33.97%,-6.85%,86.33%,64.64,92.79,-0.59%,-3.52%,3.04%,849568
AB,2020-06-05,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.60B,9.99,26.3,0.08%,590667,2.60B,9.99,10.21,-,9.17,1.71,-,5201.61,-0.70%,6.94%,6.40%,-1.76%,5.80%,26.3,0.08%,590667,2.60B,98.31M,91.39M,0.30%,-60.30%,21.60%,-0.82%,1.88%,2.55,675.10K,26.3,0.08%,590667,5.33%,20.09%,-13.80%,-8.33%,-6.51%,-13.09%,3.85%,4.67%,2.30,675.10K,0.87,26.3,0.08%,590667,2.60B,9.73%,17.00%,17.00%,15.40%,-,-,0.00,0.00,-,100.00%,89.70%,Apr 28/b,26.3,0.08%,590667,1.52,1.23,10.44%,21.39%,-4.77%,-27.07%,98.64%,68.13,26.3,0.08%,-4.01%,4.26%,590667
ABB,2020-06-05,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,47.49B,47.62,21.62,0.79%,2077721,47.49B,47.62,22.85,3.26,1.74,3.99,7.08,36.93,-27.90%,58.19%,-15.30%,14.60%,-6.80%,21.62,0.79%,2077721,47.49B,2.13B,1.91B,-,-,4.20%,-6.07%,0.11%,0.81,2.64M,21.62,0.79%,2077721,9.97%,22.35%,2.85%,-2.35%,13.31%,-10.25%,1.40%,1.80%,2.70,2.64M,0.79,21.62,0.79%,2077721,47.49B,3.84%,2.80%,10.00%,5.20%,1.20,1.00,0.59,1.10,31.60%,6.30%,4.70%,Apr 28/b,21.62,0.79%,2077721,1.12,0.51,13.61%,18.54%,5.18%,-14.55%,46.97%,76.94,21.62,0.79%,-0.92%,1.72%,2077721
ABBV,2020-06-05,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,160.68B,16.61,93.85,0.87%,9197814,160.68B,16.61,8.06,1.62,4.72,-,-,22.92,42.30%,13.22%,36.80%,10.25%,10.80%,93.85,0.87%,9197814,160.68B,1.48B,1.71B,0.10%,-2.05%,63.30%,1.61%,1.45%,1.89,13.13M,93.85,0.87%,9197814,1.27%,9.87%,5.66%,7.63%,21.77%,6.00%,2.62%,3.02%,2.30,13.13M,0.7,93.85,0.87%,9197814,160.68B,5.03%,11.30%,-103.70%,21.20%,3.10,3.00,-,-,77.10%,39.90%,24.60%,May 01/b,93.85,0.87%,9197814,0.80,2.71,4.04%,11.96%,14.25%,-4.10%,50.04%,67.43,93.85,0.87%,0.37%,0.49%,9197814
ABC,2020-06-05,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,19.93B,13.04,98.97,-0.48%,1463015,19.93B,13.04,12.10,1.58,0.11,5.66,5.40,12.43,-18.60%,9.60%,26.40%,8.23%,8.50%,98.97,-0.48%,1463015,19.93B,205.37M,146.20M,0.20%,-36.35%,67.30%,-3.02%,2.84%,2.3,1.80M,98.97,-0.48%,1463015,3.81%,15.75%,15.34%,12.01%,21.06%,16.41%,2.54%,3.40%,2.40,1.80M,0.81,98.97,-0.48%,1463015,19.93B,1.70%,4.00%,51.00%,13.00%,1.00,0.60,1.01,1.15,2.80%,0.60%,0.90%,May 07/b,98.97,-0.48%,1463015,0.62,3.04,7.96%,11.59%,13.74%,-1.02%,37.35%,66.67,98.97,-0.48%,-0.60%,0.12%,1463015
ABCB,2020-06-05,Ameris Bancorp,Financial,Banks - Regional,USA,2.03B,12.49,28.53,7.09%,497215,2.03B,12.49,10.97,1.56,2.92,0.81,2.76,-,-1.60%,13.04%,13.50%,8.00%,31.10%,28.53,7.09%,497215,2.03B,69.25M,65.88M,4.30%,-0.87%,87.60%,-0.89%,2.84%,3.53,530.35K,28.53,7.09%,497215,17.75%,30.16%,-11.67%,-33.85%,-22.68%,-32.93%,6.33%,7.25%,1.60,530.35K,0.94,28.53,7.09%,497215,2.03B,2.10%,0.90%,6.40%,15.20%,-,-,0.16,0.16,-,72.10%,20.30%,Apr 23/a,28.53,7.09%,497215,1.49,1.92,26.44%,24.40%,-19.15%,-36.46%,66.65%,65.13,28.53,7.09%,-0.35%,7.47%,497215
ABEO,2020-06-05,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,239.24M,-,2.92,0.69%,770834,239.24M,-,-,-,-,2.04,2.06,-,-27.10%,11.60%,37.00%,-,-,2.92,0.69%,770834,239.24M,92.64M,67.30M,1.60%,17.32%,54.40%,-16.59%,6.08%,3.21,1.28M,2.92,0.69%,770834,-11.78%,20.16%,7.35%,-2.34%,-44.80%,-10.70%,6.27%,9.63%,2.10,1.28M,0.6,2.92,0.69%,770834,239.24M,-,-60.50%,-82.40%,-,3.20,3.20,0.00,0.00,-,-,-,Mar 23/a,2.92,0.69%,770834,1.60,0.24,-5.13%,11.03%,7.65%,-48.23%,116.30%,49.67,2.92,0.69%,-2.67%,3.45%,770834
ABEV,2020-06-05,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,44.37B,16.02,2.82,6.82%,50228343,44.37B,16.02,18.80,2.81,-,2.86,-,-,-26.30%,7.10%,39.83%,5.70%,-,2.82,6.82%,50228343,44.37B,15.73B,4.39B,-,-,8.30%,-,1.99%,2.45,35.57M,2.82,6.82%,50228343,22.08%,34.29%,-15.32%,-33.05%,-36.30%,-39.48%,4.63%,5.42%,3.30,35.57M,1.41,2.82,6.82%,50228343,44.37B,4.26%,-,-,-,-,-,-,-,-,-,-,-,2.82,6.82%,50228343,-,0.15,26.09%,25.43%,-22.96%,-46.93%,48.42%,69.05,2.82,6.82%,0.71%,6.06%,50228343
ABG,2020-06-05,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.66B,9.62,81.5,1.05%,321929,1.66B,9.62,9.82,0.52,0.23,2.36,4.27,4.06,15.00%,43.82%,20.80%,18.50%,4.20%,81.5,1.05%,321929,1.66B,19.10M,19.08M,1.10%,85.27%,-,1.61%,14.46%,9.03,305.50K,81.5,1.05%,321929,12.76%,25.60%,-6.34%,-25.80%,5.91%,-27.10%,5.35%,5.53%,2.30,305.50K,1.05,81.5,1.05%,321929,1.66B,-,5.60%,26.50%,11.30%,1.50,0.60,1.69,3.05,16.30%,4.30%,2.30%,May 05/b,81.5,1.05%,321929,1.61,4.68,15.31%,30.36%,-9.18%,-33.98%,107.06%,66.85,81.5,1.05%,-5.18%,6.57%,321929
ABM,2020-06-05,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.65B,17.16,36.54,6.22%,543724,2.65B,17.16,18.88,1.07,0.41,1.57,38.00,16.56,78.50%,20.41%,10.20%,16.00%,6.90%,36.54,6.22%,543724,2.65B,66.90M,65.96M,0.90%,-2.26%,98.20%,-3.35%,4.08%,4.67,577.50K,36.54,6.22%,543724,18.91%,17.64%,7.79%,-2.72%,-8.14%,-3.10%,4.64%,4.65%,2.20,577.50K,0.94,36.54,6.22%,543724,2.65B,2.03%,3.80%,9.40%,7.50%,1.50,1.50,0.51,0.55,11.80%,3.40%,2.20%,Jun 17/a,36.54,6.22%,543724,1.28,1.68,12.64%,20.42%,4.48%,-14.37%,84.63%,65.54,36.54,6.22%,2.10%,4.04%,543724
ABMD,2020-06-05,"Abiomed, Inc.",Healthcare,Medical Devices,USA,11.25B,56.42,249.81,5.84%,600309,11.25B,56.42,51.69,2.35,13.38,10.56,25.39,41.53,-21.00%,42.90%,10.80%,24.00%,29.60%,249.81,5.84%,600309,11.25B,45.04M,44.08M,1.40%,-2.47%,98.40%,-3.00%,6.52%,4.33,663.66K,249.81,5.84%,600309,11.57%,33.65%,59.03%,28.84%,-7.20%,46.44%,4.11%,3.98%,2.30,663.66K,0.9,249.81,5.84%,600309,11.25B,-,17.40%,19.80%,17.90%,4.80,4.10,0.00,0.00,82.00%,29.10%,24.10%,Apr 30/b,249.81,5.84%,600309,0.89,9.07,22.28%,39.78%,39.47%,-12.58%,109.91%,85.58,249.81,5.84%,5.30%,0.51%,600309
ABR,2020-06-05,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,1.09B,21.67,9.73,4.29%,3229858,1.09B,21.67,9.97,2.71,2.15,1.09,4.91,-,-14.30%,510.00%,-5.50%,8.00%,30.60%,9.73,4.29%,3229858,1.09B,110.79M,103.19M,3.20%,1.13%,39.40%,-14.84%,5.67%,1.89,3.10M,9.73,4.29%,3229858,15.56%,45.44%,-19.52%,-34.79%,-21.72%,-32.20%,6.26%,7.34%,2.60,3.10M,1.04,9.73,4.29%,3229858,1.09B,12.33%,0.60%,3.70%,2.50%,-,-,5.58,5.58,61.70%,8.40%,7.30%,May 08/b,9.73,4.29%,3229858,1.80,0.59,25.87%,43.83%,-17.06%,-38.30%,174.86%,76.84,9.73,4.29%,-3.18%,7.72%,3229858
ABT,2020-06-05,Abbott Laboratories,Healthcare,Medical Devices,USA,158.95B,45.09,89.86,1.82%,11789564,158.95B,45.09,24.50,4.39,4.95,5.26,43.34,74.52,45.20%,29.79%,12.40%,10.28%,9.50%,89.86,1.82%,11789564,158.95B,1.77B,1.76B,0.70%,-5.98%,76.30%,-0.39%,1.03%,1.68,10.77M,89.86,1.82%,11789564,-5.33%,-1.34%,9.93%,5.49%,12.20%,3.45%,2.50%,2.98%,1.80,10.77M,1.09,89.86,1.82%,11789564,158.95B,1.60%,5.30%,11.50%,8.20%,1.40,1.00,0.56,0.60,58.50%,14.00%,11.20%,Apr 16/b,89.86,1.82%,11789564,0.95,2.78,-2.03%,0.90%,5.47%,-10.14%,45.85%,49.31,89.86,1.82%,1.71%,0.11%,11789564
ABTX,2020-06-05,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,609.78M,14.13,29.19,7.40%,107156,609.78M,14.13,21.23,-,2.61,0.84,3.25,14.80,4.50%,-13.25%,14.40%,-,34.80%,29.19,7.40%,107156,609.78M,20.41M,18.70M,1.90%,-16.77%,51.40%,-3.57%,5.18%,8.31,116.74K,29.19,7.40%,107156,13.98%,31.90%,-3.31%,-18.89%,-10.24%,-22.37%,5.32%,5.30%,3.00,116.74K,0.92,29.19,7.40%,107156,609.78M,1.37%,0.90%,6.20%,17.90%,-,-,0.42,0.42,-,75.00%,18.80%,Apr 30/b,29.19,7.40%,107156,1.36,1.63,18.49%,21.27%,-8.51%,-25.06%,39.80%,65.81,29.19,7.40%,1.32%,6.00%,107156
ABUS,2020-06-05,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,140.75M,-,2.05,0.49%,1224096,140.75M,-,-,-,20.70,-,1.66,-,-137.80%,-8.40%,-9.90%,-,-16.70%,2.05,0.49%,1224096,140.75M,67.68M,44.46M,30.16%,0.00%,38.70%,9.91%,0.97%,0.37,1.15M,2.05,0.49%,1224096,-5.53%,44.37%,-30.98%,-9.29%,25.77%,-26.26%,9.13%,13.00%,1.90,1.15M,1.06,2.05,0.49%,1224096,140.75M,-,-120.30%,416.80%,203.20%,21.90,21.90,-,-,-,-,-,May 11/b,2.05,0.49%,1224096,2.83,0.21,3.02%,34.74%,6.75%,-43.99%,149.57%,60.56,2.05,0.49%,0.99%,-0.49%,1224096
AC,2020-06-05,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,873.48M,-,36.67,-3.12%,38135,873.48M,-,-,-,28.18,1.00,2.44,-,169.10%,-,71.70%,-,8.30%,36.67,-3.12%,38135,873.48M,22.44M,3.26M,0.60%,26.10%,84.70%,-0.11%,5.59%,8.96,20.36K,36.67,-3.12%,38135,-10.76%,6.01%,-6.29%,1.80%,-4.23%,-6.45%,8.11%,6.93%,-,20.36K,1.87,36.67,-3.12%,38135,873.48M,0.55%,-5.90%,-6.60%,-3.10%,-,-,0.00,0.02,-,-28.90%,-,Mar 09/a,36.67,-3.12%,38135,1.35,2.64,-2.29%,3.40%,-3.09%,-43.98%,50.72%,46.67,36.67,-3.12%,-10.45%,8.19%,38135
ACA,2020-06-05,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.18B,18.75,45.03,5.70%,530312,2.18B,18.75,18.04,5.52,1.20,1.19,10.85,12.31,52.80%,2.46%,-6.30%,3.40%,-2.50%,45.03,5.70%,530312,2.18B,47.80M,47.90M,1.40%,0.74%,88.60%,-0.80%,2.05%,2.48,395.68K,45.03,5.70%,530312,17.97%,37.12%,8.58%,16.09%,21.51%,1.08%,4.51%,4.30%,1.90,395.68K,1.34,45.03,5.70%,530312,2.18B,0.44%,5.00%,6.50%,6.30%,2.80,1.70,0.19,0.20,19.40%,8.90%,6.40%,Apr 28/a,45.03,5.70%,530312,-,1.98,25.38%,20.92%,16.51%,-5.89%,60.02%,74.24,45.03,5.70%,1.30%,4.34%,530312
ACAD,2020-06-05,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.25B,-,45.61,-0.31%,847920,7.25B,-,-,-,19.81,11.10,11.14,-,17.50%,78.20%,-10.90%,25.00%,390.00%,45.61,-0.31%,847920,7.25B,155.37M,155.44M,0.10%,185.84%,99.30%,2.73%,7.41%,8.85,1.30M,45.61,-0.31%,847920,-8.19%,-5.33%,8.83%,3.00%,83.10%,6.62%,4.14%,5.21%,1.80,1.30M,0.65,45.61,-0.31%,847920,7.25B,-,-34.50%,-39.40%,-35.40%,7.30,7.20,0.00,0.00,94.50%,-67.80%,-65.00%,May 07/a,45.61,-0.31%,847920,1.80,2.38,-8.30%,-3.05%,7.48%,-15.07%,111.55%,40.91,45.61,-0.31%,-0.37%,0.07%,847920
ACAM,2020-06-05,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,381.98M,123.58,10.01,0.10%,288003,381.98M,123.58,-,-,-,1.27,381.98,-,-,-,-,-,-,10.01,0.10%,288003,381.98M,38.20M,30.56M,-,-,87.40%,10.08%,0.00%,0.01,238.47K,10.01,0.10%,288003,0.40%,-0.30%,-0.50%,1.32%,-,0.20%,0.61%,0.33%,-,238.47K,1.21,10.01,0.10%,288003,381.98M,-,1.00%,1.00%,-,2.30,2.30,0.00,0.00,-,-,-,-,10.01,0.10%,288003,-,0.05,0.13%,0.58%,0.77%,-4.67%,5.37%,52.04,10.01,0.10%,-0.79%,0.90%,288003
ACB,2020-06-05,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.53B,64.54,13.94,-2.04%,5123438,1.53B,64.54,-,-,-,4.05,-,-,-,-,-,-,-,13.94,-2.04%,5123438,1.53B,110.09M,108.83M,2.90%,0.00%,12.27%,-,19.56%,2.26,9.40M,13.94,-2.04%,5123438,-0.99%,67.99%,-0.71%,-53.16%,-84.57%,-46.22%,5.45%,15.99%,-,9.40M,0.54,13.94,-2.04%,5123438,1.53B,-,-,-,-,-,-,-,-,-,-,-,May 14/a,13.94,-2.04%,5123438,-,1.53,11.84%,31.95%,-52.61%,-85.76%,163.02%,55.72,13.94,-2.04%,-1.90%,-0.14%,5123438
ACBI,2020-06-05,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,287.92M,12.69,13.25,16.23%,288769,287.92M,12.69,14.10,1.14,2.72,0.86,1.70,3.61,11.60%,24.01%,16.80%,11.10%,23.70%,13.25,16.23%,288769,287.92M,21.69M,20.82M,2.10%,-1.19%,86.00%,-2.74%,1.09%,2.3,98.60K,13.25,16.23%,288769,16.23%,21.45%,-21.50%,-28.92%,-21.18%,-27.79%,6.64%,6.19%,2.30,98.60K,2.93,13.25,16.23%,288769,287.92M,-,1.80%,14.10%,18.70%,-,-,0.15,0.15,-,75.20%,44.10%,Apr 23/a,13.25,16.23%,288769,1.11,0.83,20.58%,17.60%,-17.71%,-34.44%,49.04%,65.65,13.25,16.23%,7.55%,8.07%,288769
ACC,2020-06-05,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,5.58B,51.05,39.21,3.76%,2248236,5.58B,51.05,59.14,2.90,5.98,1.64,102.09,45.44,-28.40%,13.14%,1.50%,17.62%,5.10%,39.21,3.76%,2248236,5.58B,137.41M,136.86M,0.70%,1.01%,96.70%,0.43%,2.67%,1.85,1.98M,39.21,3.76%,2248236,21.39%,28.35%,-13.25%,-18.40%,-16.61%,-16.63%,5.33%,4.88%,2.20,1.98M,1.14,39.21,3.76%,2248236,5.58B,4.79%,1.40%,3.20%,3.00%,-,-,1.03,1.03,53.60%,23.70%,11.40%,Apr 20/a,39.21,3.76%,2248236,1.06,1.88,22.64%,24.60%,-7.16%,-23.03%,94.78%,70.05,39.21,3.76%,0.33%,3.41%,2248236
