Ticker,Company,Sector,Industry,Country
ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA
AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA
ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA
ACAM,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA
ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA
ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda
ACGLO,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda
ACGLP,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda
ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada
ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA
ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA
ACM,AECOM,Industrials,Engineering & Construction,USA
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA
ACN,Accenture plc,Technology,Information Technology Services,Ireland
ACNB,ACNB Corporation,Financial,Banks - Regional,USA
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA
ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Financial,Exchange Traded Fund,USA
ACSI,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA
ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada
ACT,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA
ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA
ACTT,Act II Global Acquisition Corp.,Financial,Shell Companies,USA
ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA
ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA
ACWF,iShares Edge MSCI Multifactor Global ETF,Financial,Exchange Traded Fund,USA
ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA
ACWV,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA
ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA
ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA
ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom
ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland
ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA
ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA
ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA
ADME,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA
ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA
ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA
ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA
ADRO,"Aduro Biotech, Inc.",Healthcare,Biotechnology,USA
ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA
ADSK,"Autodesk, Inc.",Technology,Software - Application,USA
ADSW,"Advanced Disposal Services, Inc.",Industrials,Waste Management,USA
ADT,ADT Inc.,Industrials,Security & Protection Services,USA
ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA
ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA
ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA
AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom
AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands
AEGN,Aegion Corporation,Industrials,Engineering & Construction,USA
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA
AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada
AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA
AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AES,The AES Corporation,Utilities,Utilities - Diversified,USA
AESE,Allied Esports Entertainment Inc.,Communication Services,Entertainment,USA
AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA
AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA
AEYE,"AudioEye, Inc.",Technology,Software - Application,USA
AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA
AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA
AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA
AFH,"Atlas Financial Holdings, Inc.",Financial,Insurance - Property & Casualty,USA
AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USA
AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA
AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA
AFINP,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA
AFK,VanEck Vectors Africa Index ETF,Financial,Exchange Traded Fund,USA
AFL,Aflac Incorporated,Financial,Insurance - Life,USA
AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA
AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany
AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA
AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA
AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA
AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA
AGEN,Agenus Inc.,Healthcare,Biotechnology,USA
AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA
AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA
AGGP,IQ Enhanced Core Plus Bond U.S. ETF,Financial,Exchange Traded Fund,USA
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA
AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA
AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA
AGNCM,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA
AGNCN,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA
AGNCO,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA
AGNCP,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA
AGND,WisdomTree Negative Duration U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA
AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda
AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA
AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA
AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg
AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA
AGT,iShares MSCI Argentina and Global Exposure ETF,Financial,Exchange Traded Fund,USA
AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA
AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA
AGYS,"Agilysys, Inc.",Technology,Software - Application,USA
AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA
AHC,A.H. Belo Corporation,Communication Services,Publishing,USA
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA
AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA
AI,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA
AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA
AIEQ,AI Powered Equity ETF,Financial,Exchange Traded Fund,USA
AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA
AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA
AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China
AIHS,Senmiao Technology Limited,Financial,Credit Services,China
AIIQ,AI Powered International Equity ETF,Financial,Exchange Traded Fund,USA
AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA
AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA
AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA
AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA
AINC,Ashford Inc.,Financial,Asset Management,USA
AINV,Apollo Investment Corporation,Financial,Asset Management,USA
AIQ,Global X Future Analytics Tech ETF,Financial,Exchange Traded Fund,USA
AIR,AAR Corp.,Industrials,Aerospace & Defense,USA
AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA
AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA
AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA
AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA
AIZP,"Assurant, Inc.",Financial,Insurance - Specialty,USA
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA
AJX,Great Ajax Corp.,Real Estate,REIT - Mortgage,USA
AJXA,Great Ajax Corp. 7.25 CV SR NT 24,Financial,Exchange Traded Fund,USA
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA
AKCA,"Akcea Therapeutics, Inc.",Healthcare,Biotechnology,USA
AKER,"Akers Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA
AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA
AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA
AKRX,"Akorn, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA
AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom
AL,Air Lease Corporation,Industrials,Rental & Leasing Services,USA
ALAC,Alberton Acquisition Corporation,Financial,Shell Companies,Hong Kong
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA
ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland
ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,USA
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA
ALE,"ALLETE, Inc.",Utilities,Utilities - Diversified,USA
ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA
ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA
ALFA,AlphaClone Alternative Alpha ETF,Financial,Exchange Traded Fund,USA
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA
ALGT,Allegiant Travel Company,Industrials,Airlines,USA
ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
ALJJ,"ALJ Regional Holdings, Inc.",Industrials,Specialty Business Services,USA
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,USA
ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland
ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland
ALLK,Allakos Inc.,Healthcare,Biotechnology,USA
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA
ALLT,Allot Ltd.,Technology,Communication Equipment,Israel
ALLY,Ally Financial Inc.,Financial,Credit Services,USA
ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ALO,Alio Gold Inc.,Basic Materials,Gold,Canada
ALOT,"AstroNova, Inc.",Technology,Computer Hardware,USA
ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,USA
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,USA
ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA
ALRS,Alerus Financial Corporation,Financial,Banks - Regional,USA
ALSK,"Alaska Communications Systems Group, Inc.",Communication Services,Telecom Services,USA
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,USA
ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,USA
ALTM,Altus Midstream Company,Energy,Oil & Gas Midstream,USA
ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,USA
ALTS,ProShares Morningstar Alternatives Solution ETF,Financial,Exchange Traded Fund,USA
ALTY,Global X SuperDividend Alternatives ETF,Financial,Exchange Traded Fund,USA
ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden
ALX,"Alexander's, Inc.",Real Estate,REIT - Retail,USA
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ALYA,Alithya Group Inc.,Technology,Information Technology Services,Canada
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,USA
AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
AMAL,Amalgamated Bank,Financial,Banks - Regional,USA
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA
AMBC,"Ambac Financial Group, Inc.",Financial,Insurance - Specialty,USA
AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,China
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,USA
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,Financial,Exchange Traded Fund,USA
AMCI,AMCI Acquisition Corp.,Financial,Shell Companies,USA
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland
AMCX,AMC Networks Inc.,Communication Services,Broadcasting,USA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA
AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,USA
AMEH,"Apollo Medical Holdings, Inc.",Healthcare,Medical Care Facilities,USA
AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA
AMJ,JPMorgan Alerian MLP Index ETN,Financial,Exchange Traded Fund,USA
AMK,"AssetMark Financial Holdings, Inc.",Financial,Asset Management,USA
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,USA
AMLP,Alerian MLP ETF,Financial,Exchange Traded Fund,USA
AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA
AMNB,American National Bankshares Inc.,Financial,Banks - Regional,USA
AMOM,QRAFT AI-Enhanced U.S. Large Cap Momentum ETF,Financial,Exchange Traded Fund,USA
AMOT,Allied Motion Technologies Inc.,Technology,Electronic Components,USA
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,USA
AMRB,American River Bankshares,Financial,Banks - Regional,USA
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA
AMRH,"Ameri Holdings, Inc.",Technology,Information Technology Services,USA
AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA
AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA
AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,USA
AMSF,"AMERISAFE, Inc.",Financial,Insurance - Specialty,USA
AMSWA,"American Software, Inc.",Technology,Software - Application,USA
AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA
AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA
AMTD,TD Ameritrade Holding Corporation,Financial,Capital Markets,USA
AMTX,"Aemetis, Inc.",Energy,Oil & Gas Refining & Marketing,USA
AMU,UBS ETRACS Alerian MLP Index ETN,Financial,Exchange Traded Fund,USA
AMUB,UBS ETRACS Alerian MLP Index ETN Series B,Financial,Exchange Traded Fund,USA
AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico
AMZA,InfraCap MLP ETF,Financial,Exchange Traded Fund,USA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology,USA
ANAT,American National Insurance Company,Financial,Insurance - Diversified,USA
ANCN,Anchiano Therapeutics Ltd,Healthcare,Biotechnology,Israel
ANDA,Andina Acquisition Corp. III,Financial,Shell Companies,Colombia
ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA
ANGI,ANGI Homeservices Inc.,Communication Services,Internet Content & Information,USA
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,Financial,Exchange Traded Fund,USA
ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,USA
ANH,Anworth Mortgage Asset Corporation,Real Estate,REIT - Mortgage,USA
ANIK,"Anika Therapeutics, Inc.",Healthcare,Biotechnology,USA
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
ANIX,"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,USA
ANPC,"AnPac Bio-Medical Science Co., Ltd.",Healthcare,Biotechnology,China
ANSS,"ANSYS, Inc.",Technology,Software - Application,USA
ANTE,AirNet Technology Inc.,Communication Services,Advertising Agencies,China
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA
ANVS,"Annovis Bio, Inc.",Healthcare,Biotechnology,USA
ANY,Sphere 3D Corp.,Technology,Software - Application,Canada
AOA,iShares Core Aggressive Allocation ETF,Financial,Exchange Traded Fund,USA
AOBC,American Outdoor Brands Corporation,Industrials,Aerospace & Defense,USA
AOD,Aberdeen Total Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA
AOK,iShares Core Conservative Allocation ETF,Financial,Exchange Traded Fund,USA
AOM,iShares Core Moderate Allocation ETF,Financial,Exchange Traded Fund,USA
AON,Aon Plc,Financial,Insurance Brokers,United Kingdom
AOR,iShares Core Growth Allocation ETF,Financial,Exchange Traded Fund,USA
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,USA
AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,USA
APA,Apache Corporation,Energy,Oil & Gas E&P,USA
APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,USA
APDN,"Applied DNA Sciences, Inc.",Industrials,Security & Protection Services,USA
APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,USA
APEN,"Apollo Endosurgery, Inc.",Healthcare,Medical Devices,USA
APEX,Apex Global Brands Inc.,Consumer Cyclical,Apparel Retail,USA
APG,APi Group Corporation,Industrials,Engineering & Construction,USA
APH,Amphenol Corporation,Technology,Electronic Components,USA
APHA,Aphria Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,USA
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
APLT,"Applied Therapeutics, Inc.",Healthcare,Biotechnology,USA
APM,Aptorum Group Limited,Healthcare,Biotechnology,Hong Kong
APO,"Apollo Global Management, Inc.",Financial,Asset Management,USA
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,USA
APOP,Cellect Biotechnology Ltd.,Healthcare,Biotechnology,Israel
APPF,"AppFolio, Inc.",Technology,Software - Application,USA
APPN,Appian Corporation,Technology,Software - Infrastructure,USA
APPS,"Digital Turbine, Inc.",Technology,Software - Application,USA
APRE,"Aprea Therapeutics, Inc.",Healthcare,Biotechnology,USA
APRN,"Blue Apron Holdings, Inc.",Consumer Cyclical,Internet Retail,USA
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada
APTO,Aptose Biosciences Inc.,Healthcare,Biotechnology,Canada
APTS,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland
APTX,Aptinyx Inc.,Healthcare,Biotechnology,USA
APVO,Aptevo Therapeutics Inc.,Healthcare,Biotechnology,USA
APWC,Asia Pacific Wire & Cable Corporation Limited,Industrials,Electrical Equipment & Parts,Taiwan
APXT,Apex Technology Acquisition Corporation,Financial,Shell Companies,USA
APY,Apergy Corporation,Energy,Oil & Gas Equipment & Services,USA
APYX,Apyx Medical Corporation,Healthcare,Medical Devices,USA
AQB,"AquaBounty Technologies, Inc.",Consumer Defensive,Farm Products,USA
